btc_total_bitcoins_lag_1,btc_total_bitcoins_lag_2,btc_total_bitcoins_lag_3,btc_blocks_size_lag_1,btc_blocks_size_lag_2,btc_blocks_size_lag_3,btc_avg_block_size_lag_1,btc_avg_block_size_lag_2,btc_avg_block_size_lag_3,btc_n_orphaned_blocks_lag_1,btc_n_orphaned_blocks_lag_2,btc_n_orphaned_blocks_lag_3,btc_n_transactions_per_block_lag_1,btc_n_transactions_per_block_lag_2,btc_n_transactions_per_block_lag_3,btc_median_confirmation_time_lag_1,btc_median_confirmation_time_lag_2,btc_median_confirmation_time_lag_3,btc_hash_rate_lag_1,btc_hash_rate_lag_2,btc_hash_rate_lag_3,btc_difficulty_lag_1,btc_difficulty_lag_2,btc_difficulty_lag_3,btc_cost_per_transaction_percent_lag_1,btc_cost_per_transaction_percent_lag_2,btc_cost_per_transaction_percent_lag_3,btc_n_unique_addresses_lag_1,btc_n_unique_addresses_lag_2,btc_n_unique_addresses_lag_3,btc_n_transactions_lag_1,btc_n_transactions_lag_2,btc_n_transactions_lag_3,btc_n_transactions_total_lag_1,btc_n_transactions_total_lag_2,btc_n_transactions_total_lag_3,btc_n_transactions_excluding_popular_lag_1,btc_n_transactions_excluding_popular_lag_2,btc_n_transactions_excluding_popular_lag_3,btc_n_transactions_excluding_chains_longer_than_100_lag_1,btc_n_transactions_excluding_chains_longer_than_100_lag_2,btc_n_transactions_excluding_chains_longer_than_100_lag_3,btc_estimated_transaction_volume_lag_1,btc_estimated_transaction_volume_lag_2,btc_estimated_transaction_volume_lag_3,log_btc_market_price_lag_1,log_btc_market_price_lag_2,log_btc_market_price_lag_3,log_btc_market_cap_lag_1,log_btc_market_cap_lag_2,log_btc_market_cap_lag_3,log_btc_trade_volume_lag_1,log_btc_trade_volume_lag_2,log_btc_trade_volume_lag_3,log_btc_miners_revenue_lag_1,log_btc_miners_revenue_lag_2,log_btc_miners_revenue_lag_3,log_btc_transaction_fees_lag_1,log_btc_transaction_fees_lag_2,log_btc_transaction_fees_lag_3,log_btc_cost_per_transaction_lag_1,log_btc_cost_per_transaction_lag_2,log_btc_cost_per_transaction_lag_3,log_btc_estimated_transaction_volume_usd_lag_1,log_btc_estimated_transaction_volume_usd_lag_2,log_btc_estimated_transaction_volume_usd_lag_3,log_btc_output_volume_lag_1,log_btc_output_volume_lag_2,log_btc_output_volume_lag_3
7801700.0,7794850.0,7787350.0,576.0,574.0,572.0,0.0156591094891,0.01690016,0.0174148407643,0.0,0.0,0.0,37.0,37.0,48.0,16.0166666667,12.7833333333,11.0666666667,7.42810856461,8.13296558169,8.5125039755,1090715.68005,1090715.68005,1090715.68005,0.213852115128,0.203795424088,0.237357719451,9094.0,9426.0,10589.0,5290.0,5533.0,6316.0,1969347.0,1964057.0,1958524.0,3899.0,4169.0,4961.0,5170.0,5018.0,5779.0,3204551.0,3682124.0,3308930.0,1.3837912309017721,1.4182749856625039,1.4202125793233513,16.96512564690162,17.010003667830386,17.01159687548799,12.48133881175059,12.802506797628586,12.109041598883497,9.927763980972912,10.064263875376493,10.112404463404737,1.5060395815431138,1.6279562840543202,1.668640399731734,1.5837989826618815,1.6572704162961027,1.5896697696613626,16.075355985548708,16.260030188061194,16.155721053819008,15.028780201277936,15.210317786437477,15.357116551178331
7809700.0,7801700.0,7794850.0,578.0,576.0,574.0,0.0170470375,0.0156591094891,0.01690016,0.0,0.0,0.0,36.0,37.0,37.0,13.3666666667,16.0166666667,12.7833333333,8.67516328714,7.42810856461,8.13296558169,1090715.68005,1090715.68005,1090715.68005,0.424932774177,0.213852115128,0.203795424088,10411.0,9094.0,9426.0,6347.0,5290.0,5533.0,1975694.0,1969347.0,1964057.0,4689.0,3899.0,4169.0,5866.0,5170.0,5018.0,1883357.0,3204551.0,3682124.0,1.3686394258811698,1.3837912309017721,1.4182749856625039,16.94587957551681,16.96512564690162,17.010003667830386,11.413118683187328,12.48133881175059,12.802506797628586,10.062616818610447,9.927763980972912,10.064263875376493,1.529492337043071,1.5060395815431138,1.6279562840543202,1.5463848480394284,1.5837989826618815,1.6572704162961027,15.523568801964041,16.075355985548708,16.260030188061194,14.553977500101853,15.028780201277936,15.210317786437477
7817650.0,7809700.0,7801700.0,580.0,578.0,576.0,0.0183092704403,0.0170470375,0.0156591094891,0.0,0.0,0.0,36.0,36.0,37.0,15.1833333333,13.3666666667,16.0166666667,8.62094351659,8.67516328714,7.42810856461,1090715.68005,1090715.68005,1090715.68005,0.136530634767,0.424932774177,0.213852115128,11341.0,10411.0,9094.0,7021.0,6347.0,5290.0,1982715.0,1975694.0,1969347.0,5580.0,4689.0,3899.0,6302.0,5866.0,5170.0,5825066.0,1883357.0,3204551.0,1.3987168811184478,1.3686394258811698,1.3837912309017721,16.987036188408798,16.94587957551681,16.96512564690162,12.044528151703949,11.413118683187328,12.48133881175059,10.096487310534876,10.062616818610447,9.927763980972912,1.5039375781132114,1.529492337043071,1.5060395815431138,1.4939981269418996,1.5463848480394284,1.5837989826618815,16.69282257412923,15.523568801964041,16.075355985548708,15.81286232529689,14.553977500101853,15.028780201277936
7825000.0,7817650.0,7809700.0,583.0,580.0,578.0,0.021510707483,0.0183092704403,0.0170470375,0.0,0.0,0.0,36.0,36.0,36.0,14.0,15.1833333333,13.3666666667,7.97030627006,8.62094351659,8.67516328714,1090715.68005,1090715.68005,1090715.68005,0.13839219677,0.136530634767,0.424932774177,10988.0,11341.0,10411.0,7119.0,7021.0,6347.0,1989834.0,1982715.0,1975694.0,5695.0,5580.0,4689.0,6229.0,6302.0,5866.0,5313161.0,5825066.0,1883357.0,1.406587064387653,1.3987168811184478,1.3686394258811698,16.998413072753543,16.987036188408798,16.94587957551681,12.090685755572395,12.044528151703949,11.413118683187328,10.028486534957707,10.096487310534876,10.062616818610447,1.6091731673922243,1.5039375781132114,1.529492337043071,1.4311015269149072,1.4939981269418996,1.5463848480394284,16.61127629363452,16.69282257412923,15.523568801964041,15.536750032047172,15.81286232529689,14.553977500101853
7832700.0,7825000.0,7817650.0,585.0,583.0,580.0,0.0175812792208,0.021510707483,0.0183092704403,0.0,0.0,0.0,42.0,36.0,36.0,14.0166666667,14.0,15.1833333333,8.34984466387,7.97030627006,8.62094351659,1090715.68005,1090715.68005,1090715.68005,0.197463040143,0.13839219677,0.136530634767,9481.0,10988.0,11341.0,5787.0,7119.0,7021.0,1995621.0,1989834.0,1982715.0,4203.0,5695.0,5580.0,5653.0,6229.0,6302.0,3900983.0,5313161.0,5825066.0,1.410986973710262,1.406587064387653,1.3987168811184478,17.005219988788763,16.998413072753543,16.987036188408798,11.709033824697187,12.090685755572395,12.044528151703949,10.080809130241697,10.028486534957707,10.096487310534876,1.4554273124618677,1.6091731673922243,1.5039375781132114,1.6343976988445144,1.4311015269149072,1.4939981269418996,16.308141382690074,16.61127629363452,16.69282257412923,15.373687263041292,15.536750032047172,15.81286232529689
7840250.0,7832700.0,7825000.0,587.0,585.0,583.0,0.0161173774834,0.0175812792208,0.021510707483,0.0,0.0,0.0,35.0,42.0,36.0,10.2666666667,14.0166666667,14.0,8.18718535224,8.34984466387,7.97030627006,1090715.68005,1090715.68005,1090715.68005,0.645234712643,0.197463040143,0.13839219677,9524.0,9481.0,10988.0,5686.0,5787.0,7119.0,2001307.0,1995621.0,1989834.0,4090.0,4203.0,5695.0,5585.0,5653.0,6229.0,1170427.0,3900983.0,5313161.0,1.3959971365812758,1.410986973710262,1.406587064387653,16.986309835477986,17.005219988788763,16.998413072753543,11.568227321028372,11.709033824697187,12.090685755572395,10.04113979279307,10.080809130241697,10.028486534957707,1.3766131667212576,1.4554273124618677,1.6091731673922243,1.616676092463613,1.6343976988445144,1.4311015269149072,15.084407808948946,16.308141382690074,16.61127629363452,14.762891653045374,15.373687263041292,15.536750032047172
7848100.0,7840250.0,7832700.0,589.0,587.0,585.0,0.0153768980892,0.0161173774834,0.0175812792208,0.0,0.0,0.0,44.0,35.0,42.0,14.0333333333,10.2666666667,14.0166666667,8.5125039755,8.18718535224,8.34984466387,1090715.68005,1090715.68005,1090715.68005,2.41741227591,0.645234712643,0.197463040143,9793.0,9524.0,9481.0,5794.0,5686.0,5787.0,2007101.0,2001307.0,1995621.0,4234.0,4090.0,4203.0,5242.0,5585.0,5653.0,324851.0,1170427.0,3900983.0,1.3962446919730587,1.3959971365812758,1.410986973710262,16.987639579578452,16.986309835477986,17.005219988788763,12.342871810167253,11.568227321028372,11.709033824697187,10.080550306030892,10.04113979279307,10.080809130241697,1.3920153475248014,1.3766131667212576,1.4554273124618677,1.6332164624990164,1.616676092463613,1.6343976988445144,13.802982407387004,15.084407808948946,16.308141382690074,13.952580512484976,14.762891653045374,15.373687263041292
7855350.0,7848100.0,7840250.0,591.0,589.0,587.0,0.0169413103448,0.0153768980892,0.0161173774834,0.0,0.0,0.0,42.0,44.0,35.0,13.25,14.0333333333,10.2666666667,7.86186672897,8.5125039755,8.18718535224,1090715.68005,1090715.68005,1090715.68005,2.72577695151,2.41741227591,0.645234712643,8549.0,9793.0,9524.0,5240.0,5794.0,5686.0,2012341.0,2007101.0,2001307.0,3694.0,4234.0,4090.0,5020.0,5242.0,5585.0,269281.0,324851.0,1170427.0,1.4770487243883548,1.3962446919730587,1.3959971365812758,17.09458113344399,16.987639579578452,16.986309835477986,12.770999311468191,12.342871810167253,11.568227321028372,10.119010137918973,10.080550306030892,10.04113979279307,4.521768052273191,1.3920153475248014,1.3766131667212576,1.7465145399974071,1.6332164624990164,1.616676092463613,13.72138777292768,13.802982407387004,15.084407808948946,13.719885992335705,13.952580512484976,14.762891653045374
7862050.0,7855350.0,7848100.0,593.0,591.0,589.0,0.0191634552239,0.0169413103448,0.0153768980892,0.0,0.0,0.0,33.0,42.0,44.0,10.6333333333,13.25,14.0333333333,7.26544925298,7.86186672897,8.5125039755,1090715.68005,1090715.68005,1090715.68005,2.16792401343,2.72577695151,2.41741227591,8547.0,8549.0,9793.0,4924.0,5240.0,5794.0,2017265.0,2012341.0,2007101.0,3475.0,3694.0,4234.0,4663.0,5020.0,5242.0,323120.0,269281.0,324851.0,1.468420282012588,1.4770487243883548,1.3962446919730587,17.084238118896927,17.09458113344399,16.987639579578452,11.774727477557597,12.770999311468191,12.342871810167253,10.061102304816089,10.119010137918973,10.080550306030892,5.724245455047745,4.521768052273191,1.3920153475248014,1.7500578149865815,1.7465145399974071,1.6332164624990164,13.892460487927563,13.72138777292768,13.802982407387004,13.568187087251856,13.719885992335705,13.952580512484976
7868500.0,7862050.0,7855350.0,595.0,593.0,591.0,0.0195336821705,0.0191634552239,0.0169413103448,0.0,0.0,0.0,31.0,33.0,42.0,15.6166666667,10.6333333333,13.25,7.40682744479,7.26544925298,7.86186672897,1155038.33396,1090715.68005,1090715.68005,3.97301048219,2.16792401343,2.72577695151,9008.0,8547.0,8549.0,5515.0,4924.0,5240.0,2022780.0,2017265.0,2012341.0,3910.0,3475.0,3694.0,5001.0,4663.0,5020.0,162446.0,323120.0,269281.0,1.4586150226995167,1.468420282012588,1.4770487243883548,17.072300512007317,17.084238118896927,17.09458113344399,11.585003479439006,11.774727477557597,12.770999311468191,9.966424792306725,10.061102304816089,10.119010137918973,1.753890237745201,5.724245455047745,4.521768052273191,1.581422650868871,1.7500578149865815,1.7465145399974071,13.192025624809224,13.892460487927563,13.72138777292768,12.937690089613522,13.568187087251856,13.719885992335705
